Alamat,tbc,dbd,tifoid,Umur,Nafsu Makan Kurang,Nafsu Makan Normal,Jarang Jajan Diluar,Sering Jajan Diluar,Tersedia air bersih,Tidak tersedia air bersih,Ada lalat/nyamuk di sekitar tumpukan sampah,Ada sampah tapi kadang dibersihkan kadang tidak,Ada sampah tapi tidak banyak,Bersih tanpa ada sampah,Ada disemua ruangan,Ada tapi hanya sedikit,Ada tapi jarang terbuka,Ada tapi selalu tertutup,Jarang pakai jamban/toilet,Sering Pakai Jamban/Toilet
Balang Balang,4.0,1.0,1.0,13.5,1.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5
Bili Bili,11.0,9.0,14.0,21.304347826086957,0.8260869565217391,0.17391304347826086,0.21739130434782608,0.782608695652174,0.9565217391304348,0.043478260869565216,0.043478260869565216,0.43478260869565216,0.34782608695652173,0.17391304347826086,0.4782608695652174,0.5217391304347826,0.0,0.0,0.08695652173913043,0.9130434782608695
Binangae,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonto Bontoa,2.0,10.0,3.0,15.576923076923077,0.9230769230769231,0.07692307692307693,0.0,1.0,1.0,0.0,0.15384615384615385,0.23076923076923078,0.46153846153846156,0.15384615384615385,0.46153846153846156,0.38461538461538464,0.15384615384615385,0.0,0.07692307692307693,0.9230769230769231
Bonto Tene,2.0,0.0,1.0,20.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Bonto-Bonto,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bontomanai,36.0,29.0,54.0,19.373493975903614,0.927710843373494,0.07228915662650602,0.20481927710843373,0.7951807228915663,1.0,0.0,0.060240963855421686,0.37349397590361444,0.42168674698795183,0.14457831325301204,0.5662650602409639,0.3855421686746988,0.04819277108433735,0.0,0.024096385542168676,0.9759036144578314
Bontomarannu,5.0,1.0,2.0,11.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0
Bontoramba,4.0,8.0,8.0,16.5,0.8125,0.1875,0.0625,0.9375,1.0,0.0,0.0625,0.4375,0.1875,0.3125,0.75,0.1875,0.0625,0.0,0.125,0.875
"Bontotangga, Paccinongang",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
